t_ms,velocidade_rad_s
9801,2.763438
9820,2.763438
9840,2.762885
9861,2.690716
9880,2.690178
9901,2.690178
9920,2.762885
9941,2.690716
9960,2.690716
9981,2.690716
10000,2.763438
10021,2.617470
10040,2.763438
10061,2.617470
10080,2.762885
10101,2.617994
10120,2.763438
10140,2.763438
10161,2.617994
10180,2.763438
10201,2.763438
10220,2.617470
10241,2.690716
10260,2.617470
10281,2.617994
10300,2.617994
10321,2.690178
10340,2.617994
10361,2.617470
10380,2.617470
10401,2.690716
10420,2.617994
10441,2.690178
10461,2.617470
10480,2.617470
10501,2.763438
10520,2.617470
10541,2.617470
10560,2.690716
10581,2.690716
10600,2.617470
10621,2.763438
10640,2.763438
10661,2.690716
10680,2.690178
10701,2.763438
10720,2.617470
10741,2.690716
10761,2.690716
10780,2.690716
10801,2.690178
10820,2.617470
10841,2.617994
10860,2.617994
10881,2.472055
10900,2.472055
10921,2.327106
10940,2.327106
10961,2.181662
10980,2.181662
11001,2.254384
11020,2.181225
11041,2.254384
11061,2.253933
11081,2.254384
11101,2.326175
11120,2.254384
11141,2.399348
11160,2.327106
11181,2.399828
11200,2.471561
11221,2.472550
11240,2.472550
11261,2.472055
11280,2.472550
11301,2.472550
11320,2.399828
11341,2.327106
11361,2.399348
11381,2.472550
11401,2.399828
11420,2.472055
11441,2.545272
11460,2.544763
11481,2.617994
11500,2.617470
11521,2.617994
11540,2.690178
11561,2.690178
11580,2.617470
11601,2.617994
11620,2.690716
11641,2.617470
11661,2.544763
11681,2.617470
11701,2.616424
11721,2.617470
11741,2.617470
11760,2.617470
11781,2.762885
11800,2.617994
11821,2.763438
11840,2.763438
11861,2.763438
11880,2.690178
11901,2.762885
11920,2.762885
11941,2.763438
11961,2.763438
11981,2.690716
12001,2.762333
12021,2.763438
12041,2.617470
12060,2.763438
12081,2.690716
12100,2.690716
12121,2.763438
12140,2.763438
12161,2.617470
12180,2.762885
12201,2.762885
12220,2.763438
12241,2.690178
12261,2.690716
12281,2.690178
12301,2.689640
12321,2.617994
12341,2.617994
12361,2.617470
12381,2.617470
12400,2.399348
12421,2.253933
12440,2.036218
12461,2.108518
12480,2.108940
12501,2.035810
12520,2.036218
12541,2.036218
12561,2.036218
12581,2.035810
12601,2.036218
12621,2.108518
12641,2.108940
12661,2.035810
12681,2.181662
12700,2.180789
12721,2.181225
12740,2.181225
12761,2.181662
12780,2.327106
12801,2.327106
12820,2.326640
12841,2.327106
12861,2.399828
12881,2.472550
12901,2.399828
12921,2.545272
12941,2.545272
12961,2.472055
12981,2.617470
13001,2.617994
13021,2.617994
13040,2.617994
13061,2.617994
13080,2.617994
13101,2.690178
13120,2.617994
13141,2.545272
13161,2.617994
13181,2.617994
13201,2.617994
13221,2.617994
13241,2.617994
13261,2.617470
13281,2.690178
13301,2.617994
13321,2.690716
13340,2.690716
13361,2.690716
13380,2.690716
13401,2.763438
13420,2.763438
13441,2.762885
13460,2.762885
13481,2.762885
13501,2.690178
13521,2.690716
13541,2.690178
13561,2.763438
13581,2.763438
13601,2.762885
13621,2.617994
13641,2.617994
13661,2.617994
13680,2.617994
13701,2.472055
13720,2.544763
13741,2.545272
13760,2.617470
13781,2.617470
13801,2.617470
13821,2.617994
13841,2.617994
13861,2.617994
13881,2.763438
13901,2.690178
13921,2.690716
13941,2.762885
13961,2.762885
13980,2.763438
14001,2.763438
14020,2.763438
14041,2.763438
14060,2.762885
14081,2.763438
14101,2.836160
14121,2.762885
14141,2.836160
14161,2.763438
14181,2.763438
14201,2.762885
14221,2.762885
14241,2.836160
14261,2.836160
14281,2.763438
14301,2.835593
14320,2.690716
14341,2.835593
14360,2.690716
14381,2.763438
14401,2.762885
14421,2.617994
14441,2.617994
14461,2.763438
14481,2.763438
14501,2.763438
14521,2.763438
14541,2.763438
14561,2.763438
14581,2.835593
14601,2.690716
14620,2.763438
14641,2.763438
14660,2.763438
14681,2.690716
14701,2.690716
14721,2.617470
14741,2.690716
14761,2.690716
14781,2.617470
14801,2.617470
14821,2.690716
14841,2.690716
14861,2.545272
14881,2.617994
14901,2.544763
14921,2.545272
14941,2.545272
14960,2.472550
14981,2.472550
15000,2.617994
15021,2.472055
15041,2.472550
15061,2.472550
15081,2.472550
15101,2.472550
15121,2.253933
15141,2.254384
15161,2.181662
15181,2.181662
15201,2.108940
15221,2.254384
15241,2.108940
15260,2.181662
15281,2.108940
15300,2.036218
15321,2.181662
15341,2.181225
15361,2.254384
15381,2.108940
15401,2.181225
15421,2.181662
15441,2.181662
15461,2.181662
15481,2.181225
15501,2.181225
15521,2.254384
15541,2.253933
15561,2.327106
15581,2.327106
15600,2.472550
15621,2.326640
15641,2.399828
15661,2.399348
15681,2.472055
15701,2.472550
15721,2.545272
15741,2.544763
15761,2.617470
15781,2.617470
15801,2.617994
15821,2.617994
15841,2.617994
15861,2.617470
15881,2.617470
15900,2.762885
15921,2.690178
15941,2.690716
15961,2.836160
15981,2.763438
16001,2.836160
16021,2.763438
16041,2.836160
16061,2.836160
16081,2.908882
16101,2.908882
16121,2.908882
16141,2.762885
16161,2.763438
16181,2.908300
16201,2.762885
16221,2.762885
16241,2.763438
16261,2.762885
16281,2.617994
16301,2.399828
16321,2.544763
16341,2.472550
16361,2.617470
16381,2.617470
16401,2.690716
16421,2.690716
16441,2.690178
16461,2.835593
16481,2.690716
16501,2.835593
16521,2.763438
16542,2.690178
16561,2.545272
16581,2.254384
16601,2.181662
16621,1.963496
16641,2.035810
16661,2.036218
16681,2.108940
16701,2.108518
16721,2.181225
16741,2.254384
16761,2.253933
16781,2.327106
16801,2.327106
16821,2.326640
16841,2.327106
16861,2.327106
16881,2.399828
16901,2.399348
16921,2.471561
16941,2.326640
16961,2.326640
16981,2.327106
17001,2.327106
17021,2.326640
17041,2.472550
17061,2.472550
17081,2.545272
17101,2.545272
17121,2.472550
17141,2.617470
17161,2.617994
17182,2.617994
17201,2.545272
17221,2.545272
17241,2.617470
17261,2.544763
17281,2.545272
17301,2.617470
17321,2.617470
17341,2.544763
17361,2.545272
17381,2.617470
17401,2.617994
17421,2.544763
17441,2.545272
17461,2.617994
17482,2.472055
17501,2.545272
17521,2.544763
17541,2.545272
17561,2.472550
17581,2.545272
17601,2.326640
17621,2.327106
17641,2.327106
17661,2.326640
17681,2.471561
17701,2.399348
17721,2.399828
17741,2.472055
17761,2.545272
17782,2.544763
17801,2.472550
17822,2.545272
17841,2.545272
17861,2.617994
17881,2.690178
17901,2.690716
17921,2.690178
17941,2.690716
17961,2.617994
17981,2.617994
18001,2.617994
18021,2.472055
18041,2.617470
18061,2.545272
18082,2.544763
18101,2.617470
18122,2.617470
18141,2.690716
